,RSHP_AD_IdZone,RSHP_AD_IdParcel,RSHP_AD_IdPrecinct,RSHP_AD_IdPlot,RSHP_AD_IdSubplot,RSHP_AD_IdBuilding,RSHP_AD_IdRiverSide,RSHP_AD_IdPhase,RSHP_AD_IdAsset,RSHP_AD_IdType,RSHP_AD_Area,RSHP_AD_Level,RSHP_AD_ArBua,RSHP_AD_ArGfa,RSHP_AD_ArGla,RSHP_AD_PkParking,RSHP_AD_PpEmployee,RSHP_AD_PpResidents,RSHP_AD_PpVisitor,RSHP_AD_PpUnits,Envelope Material
0,Zone 5,YH090,704,05,0,A,Southside,1,PLAZA,Generic,11310.07,TT FFL_00 (+5.40),0,0.0,0,0.0,0.0,0,0.0,0,undefined
1,Zone 5,YH090,704,02,0,A,Southside,1,PLAZA,Generic,7107.65,TT FFL_00 (+5.40),0,0.0,0,0.0,0.0,0,0.0,0,undefined
2,Zone 5,YH090,704,03,0,A,Southside,1,PLAZA,Generic,6574.31,TT FFL_00 (+5.40),0,0.0,0,0.0,0.0,0,0.0,0,undefined
3,Zone 5,YH090,704,04,0,A,Southside,1,PLAZA,Generic,7551.44,TT FFL_00 (+5.40),0,0.0,0,0.0,0.0,0,0.0,0,undefined
4,Zone 5,YH090,704,06,0,A,Southside,1,PLAZA,Generic,11367.91,TT FFL_00 (+5.40),0,0.0,0,0.0,0.0,0,0.0,0,undefined
5,Zone 5,YH090,704,01,0,A,Southside,1,PLAZA,Generic,9144.63,TT FFL_00 (+5.40),0,0.0,0,0.0,0.0,0,0.0,0,undefined
6,Zone 5,YH090,704,09,0,A,Southside,1,PLAZA,Generic,11246.12,TT FFL_00 (+5.40),0,0.0,0,0.0,0.0,0,0.0,0,undefined
7,Zone 5,YH090,704,08,0,A,Southside,1,PLAZA,Generic,13048.27,TT FFL_00 (+5.40),0,0.0,0,0.0,0.0,0,0.0,0,undefined
8,Zone 5,YH090,704,05,0,A,Southside,1,COMMERCIAL,OFFICE,1955.56,TT FFL_06,1,0.85,1,0.01,0.05,0,0.1,0,undefined
9,Zone 5,YH090,704,05,0,A,Southside,1,COMMERCIAL,OFFICE,1955.56,TT FFL_07,1,0.85,1,0.01,0.05,0,0.1,0,undefined
10,Zone 5,YH090,704,05,0,A,Southside,1,COMMERCIAL,OFFICE,1955.56,TT FFL_08,1,0.85,1,0.01,0.05,0,0.1,0,undefined
11,Zone 5,YH090,704,05,0,A,Southside,1,COMMERCIAL,OFFICE,1955.56,TT FFL_09,1,0.85,1,0.01,0.05,0,0.1,0,undefined
12,Zone 5,YH090,704,05,0,A,Southside,1,COMMERCIAL,OFFICE,1955.56,TT FFL_10,1,0.85,1,0.01,0.05,0,0.1,0,undefined
13,Zone 5,YH090,704,05,0,A,Southside,1,COMMERCIAL,OFFICE,1955.56,TT FFL_11,1,0.85,1,0.01,0.05,0,0.1,0,undefined
14,Zone 5,YH090,704,05,0,A,Southside,1,COMMERCIAL,OFFICE,1955.56,TT FFL_12,1,0.85,1,0.01,0.05,0,0.1,0,undefined
15,Zone 5,YH090,704,05,0,A,Southside,1,COMMERCIAL,OFFICE,1955.56,TT FFL_13,1,0.85,1,0.01,0.05,0,0.1,0,undefined
16,Zone 5,YH090,704,05,0,A,Southside,1,COMMERCIAL,OFFICE,1955.56,TT FFL_14,1,0.85,1,0.01,0.05,0,0.1,0,undefined
17,Zone 5,YH090,704,05,0,A,Southside,1,COMMERCIAL,OFFICE,1955.56,TT FFL_15,1,0.85,1,0.01,0.05,0,0.1,0,undefined
18,Zone 5,YH090,704,05,0,A,Southside,1,COMMERCIAL,OFFICE,1955.56,TT FFL_16,1,0.85,1,0.01,0.05,0,0.1,0,undefined
19,Zone 5,YH090,704,05,0,A,Southside,1,COMMERCIAL,OFFICE,1955.56,TT FFL_17,1,0.85,1,0.01,0.05,0,0.1,0,undefined
20,Zone 5,YH090,704,05,0,A,Southside,1,COMMERCIAL,OFFICE,1955.56,TT FFL_18,1,0.85,1,0.01,0.05,0,0.1,0,undefined
21,Zone 5,YH090,704,05,0,A,Southside,1,COMMERCIAL,OFFICE,1955.56,TT FFL_19,1,0.85,1,0.01,0.05,0,0.1,0,undefined
22,Zone 5,YH090,704,05,0,A,Southside,1,COMMERCIAL,OFFICE,1955.56,TT FFL_20,1,0.85,1,0.01,0.05,0,0.1,0,undefined
23,Zone 5,YH090,704,05,0,A,Southside,1,COMMERCIAL,OFFICE,1955.56,TT FFL_21,1,0.85,1,0.01,0.05,0,0.1,0,undefined
24,Zone 5,YH090,704,05,0,A,Southside,1,COMMERCIAL,OFFICE,1955.56,TT FFL_22,1,0.85,1,0.01,0.05,0,0.1,0,undefined
25,Zone 5,YH090,704,05,0,A,Southside,1,COMMERCIAL,OFFICE,1955.56,TT FFL_23,1,0.85,1,0.01,0.05,0,0.1,0,undefined
26,Zone 5,YH090,704,05,0,A,Southside,1,COMMERCIAL,OFFICE,1955.56,TT FFL_24,1,0.85,1,0.01,0.05,0,0.1,0,undefined
27,Zone 5,YH090,704,05,0,A,Southside,1,COMMERCIAL,OFFICE,1955.56,TT FFL_25,1,0.85,1,0.01,0.05,0,0.1,0,undefined
28,Zone 5,YH090,704,05,0,A,Southside,1,COMMERCIAL,OFFICE,1955.56,TT FFL_26,1,0.85,1,0.01,0.05,0,0.1,0,undefined
29,Zone 5,YH090,704,05,0,A,Southside,1,COMMERCIAL,OFFICE,1955.56,TT FFL_27,1,0.85,1,0.01,0.05,0,0.1,0,undefined
30,Zone 5,YH090,704,05,0,A,Southside,1,COMMERCIAL,OFFICE,1955.56,TT FFL_28,1,0.85,1,0.01,0.05,0,0.1,0,undefined
31,Zone 5,YH090,704,05,0,A,Southside,1,COMMERCIAL,OFFICE,1955.56,TT FFL_29,1,0.85,1,0.01,0.05,0,0.1,0,undefined
32,Zone 5,YH090,704,05,0,A,Southside,1,COMMERCIAL,OFFICE,1955.56,TT FFL_30,1,0.85,1,0.01,0.05,0,0.1,0,undefined
33,Zone 5,YH090,704,05,0,A,Southside,1,COMMERCIAL,OFFICE,1955.56,TT FFL_31,1,0.85,1,0.01,0.05,0,0.1,0,undefined
34,Zone 5,YH090,704,05,0,A,Southside,1,COMMERCIAL,OFFICE,1955.56,TT FFL_32,1,0.85,1,0.01,0.05,0,0.1,0,undefined
35,Zone 5,YH090,704,05,0,A,Southside,1,COMMERCIAL,OFFICE,1955.56,TT FFL_33,1,0.85,1,0.01,0.05,0,0.1,0,undefined
36,Zone 5,YH090,704,05,0,A,Southside,1,COMMERCIAL,OFFICE,1955.56,TT FFL_34,1,0.85,1,0.01,0.05,0,0.1,0,undefined
