Unique Data Identification,Material Classification,,Commentary,,,Boundary,,,Quantity and Units,,,,,,Carbon sequestration (e.g. for Timber),,,Embodied Carbon,,Wider EN 15804 Impacts (Beyond scope of current ICE DB),,,,,,,,,,,,,,,,,,,,,,,Non-EN 15804 Impacts,,,,,,,,Data Quality,,,,,,,,,Statistical Analysis,,,,,,,,Version Control,,Misc,,,,,,,,,,User Editable Fields,,,,,,,,,,,,,
Unique ID,Material,Sub-material,Placeholder,ICE DB Name,Comments,Boundaries,Module D,Wider lifecycle notes,Quantity of declared unit,Units of declared unit,Weight per declared unit - kg,Density of material - kg per m3,Density range - low - kg per m3,Density Range - high - kg per m3,Carbon sequestration included?,Carbon Storage Amount (Kg CO2 per unit),Carbon Storage Notes,Embodied Carbon (kg CO2e per declared unit),Embodied Carbon per kg (kg CO2e per kg),Depletion potential of the stratospheric ozone layer. ODP kg CFC 11,Acidification potential of soil and water. AP kg SO2 equiv,Eutrophication potential. EP kg (PO4)3-,Formation potential of tropospheric ozone. POCP kg Ethene,Abiotic depletion potential (ADP-elements) for non-fossil resources kg Sb equiv,"Abiotic depletion potential (ADP-fossil fuels) for fossil resources MJ. net calorific
value",PERE Use of renewable primary energy excluding renewable primary energy used as raw materials - MJ,PERM Use of renewable primary energy resources used as raw materials - MJ,"PERT Total use of renewable primary energy resources (primary energy
and primary energy resources used as raw materials)
MJ. net calorific
value",PENRE Use of non-renewable primary energy excluding non-renewable primary energy used as raw materials - MJ,PENRM Use of non-renewable primary energy resources used as raw materials - MJ,"RENRT Total use of non-renewable primary energy resources (primary energy
and primary energy resources used as raw materials)
MJ. net calorific
value",Secondary Materials - kg,Use of renewable secondary fuels - MJ NCV,Use of non-renewable secondary fuels - MJ NCV,Net fresh water (inputs minus outputs)  - kg,Hazardous waste generated - kg,Non-hazardous waste generated - kg,Radioactive waste disposed - kg,Components for reuse - kg,Materials for recycling - kg,Materials for energy recovery - kg,Exported Energy - MJ,Renewable (biomass) - MJ,Renewable (solar. wind. hydroelectric. and geothermal) - MJ,Electricity Input (MJ/Kg),Non-renewable fossil - MJ,Non-renewable nuclear - MJ,Non-renewable material resources  - kg,Renewable material resources - kg,Smog creation potential - kg O₃ eq,DQI Method (Max 5),DQI Assurance  (Max 5),DQI Temporal  (Max 5),DQI Geographic  (Max 5),DQI Transparency  (Max 5),DQI Datapoint Total (Max 25),DQI Sample Size  - Only applicable to calculated averages (Max 10),DQI Total - %  (Max 100%),Placeholder,Statistical analysis available,Sample - data points,Average Embodied Carbon - kg CO2e per kg,St dev,Min,Max,Placeholder,Placeholder,ICE DB Version,Date last updated,"Fraction Recycled, if applicable",Custom mat field 1,Custom mat field 2,Custom mat field 3,Physical Form,Placeholder,Placeholder,Placeholder,Placeholder,Placeholder,User editable column heading 1,User editable column heading 2,User editable column heading 3,User editable column heading 4,User editable column heading 5,User editable column heading 6,User editable column heading 7,User editable column heading 8,User editable column heading 9,User editable column heading 10,,,,
52bdfeb3-979f-4fcd-b4eb-6ffbda643c52,AggregateSand,"AggregateSand, General aggregate and sand",,"Aggregates and sand, general UK, mixture of land won, marine, secondary and recycled, bulk, loose","This is an estimate of a market average aggregate. It models a mixture of 64.2% land won, 27.5% recycled and secondary, and 8.3% marine aggregates. Consumption statistics have been taken from a report, by British Marine Aggregates Producer Association, a member of the  Mineral Products Association (MPA). [Tenth sustainable development report for the British marine aggregate industry, Dec 2016]. These results are sensitive to the embodied carbon of secondary aggregates, which is a material where data would benefit from improvement. If you know the specific type of aggregates you will use, then it is recommended to use a more specific category of aggregates.","Cradle to gate, A1-3",,,1,kg,1,1600,1200,1750,,,,0.0075,0.0075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.94,2.66,4.65,3.81,2.00,16.05,N/A,64%,,Yes,164,0.0166,0.0560,0.0003,0.3967,,,V3.0 Beta,May-19,Typical,,,,,,,,,,,,,,,,,,,,,,,
c47ba144-190c-4ed7-84c1-423159f8af34,AggregateSand,"AggregateSand, General aggregate and sand",,"Aggregates and sand, general, virgin mixture of land won and marine, bulk, loose","Excludes recycled and secondary aggregate. This has been modelled with 89% land won and 11% marine won aggregate. Consumption statistics have been taken from a report, by British Marine Aggregates Producer Association, a member of the  Mineral Products Association (MPA). [Tenth sustainable development report for the British marine aggregate industry, Dec 2016].  The consumption of marine aggregate was taken to be the total marine aggregate production. Of the total, 68% are consumed in the GB market, 11% are sent to the European market and 21% used as beach replenishment or fill.","Cradle to gate, A1-3",,,1,kg,1,1600,1200,1750,,,,0.0049,0.0049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.32,2.53,4.63,3.76,2.00,16.23,N/A,65%,,Yes,135,0.0044,0.0052,0.0003,0.0357,,,V3.0 Beta,May-19,Virgin,,,,,,,,,,,,,,,,,,,,,,,
238416cd-fce6-47b5-9c5a-4146d4067406,AggregateSand,"AggregateSand, Land won gravel and sand",,"Aggregates and sand, from virgin land won resources, bulk, loose",Based upon the stastical average of all data collected for virgin aggregates in the ICE Database. ,"Cradle to gate, A1-3",,,1,kg,1,1600,1200,1750,,,,0.0044,0.0044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.62,2.72,4.58,3.60,2.00,16.52,8.00,70%,,Yes,134,0.0044,0.0052,0.0003,0.0357,,,V3.0 Beta,May-19,Virgin,,,,,,,,,,,,,,,,,,,,,,,
64214af1-a2d1-4b7b-acf3-137de42de2b6,AggregateSand,"AggregateSand, Marine sand and aggregate",,"Aggregates and sand, from virgin marine resources, bulk, loose","Consumption statistics have been taken from a report, by British Marine Aggregates Producer Association, a member of the  Mineral Products Association (MPA). [Tenth sustainable development report for the British marine aggregate industry, Dec 2016].  The consumption of marine aggregate was taken to be the total marine aggregate production. The data has been modelled with the average energy consumption for extracting marine aggregates in the UK. The original data did not use all scope emissions factors, instead just scope 1 and 2. The data was therefore used to estimate the full scope 1, 2 and 3 emissions. The impacts to produce aggregates has a particularly large variation in embodied impacts. ","Cradle to gate, A1-3",,,1,kg,1,1600,1200,1750,,,,0.0090,0.0090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,1.00,5.00,5.00,2.00,14.00,1.00,43%,,Yes,1,0.0090,0.0052,0.0003,0.0357,,,V3.0 Beta,May-19,Virgin,,,,,,,,,,,,,,,,,,,,,,,
2d8e1110-577f-4b24-9276-6a0b9140036a,AggregateSand,"AggregateSand, Recycled aggregate, no heat treat",,"Aggregates and sand, from recycled resources, no heat treatment, bulk, loose","Based upon the stastical average of all data collected for recycled aggregates with no heat treatment in the ICE Database. Recycled aggregates include aggreagates from construction and demolition waste. It does not cover secondary aggregates, such as blaast furnace slag, or bottom ash (see seperate category for these). Data for recycled aggregates is more difficult to obtain than for virgin aggregates. There is also a large range in results for recycled aggregates, adding uncertainty into the results.","Cradle to gate, A1-3",,,1,kg,1,1600,1200,1750,,,,0.0061,0.0061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.40,2.67,4.53,3.93,2.00,15.53,4.00,56%,,Yes,15,0.0061,0.0052,0.0003,0.0357,,,V3.0 Beta,May-19,Recycled,,,,,,,,,,,,,,,,,,,,,,,
0f39187d-ba00-451f-9016-2b0c271a407e,AggregateSand,"AggregateSand, Recycled aggregate, heat treat",,"Aggregates and sand, from recycled resources, with heat treatment, bulk, loose","Based upon the stastical average of all data collected for recycled aggregates that have been through heat treatment in the ICE Database. Recycled aggregates include aggreagates from construction and demolition waste. It does not cover secondary aggregates such as blaast furnace slag, or bottom ash (see seperate category for these). Data for recycled aggregates is more difficult to obtain than for virgin aggregates. There is also a large range in results for recycled aggregates, adding uncertainty into the results.","Cradle to gate, A1-3",,,1,kg,1,1600,1200,1750,,,,0.1188,0.1188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,3.67,5.00,4.00,2.00,15.67,3.00,53%,,Yes,6,0.1188,0.0052,0.0003,0.0357,,,V3.0 Beta,May-19,Recycled,,,,,,,,,,,,,,,,,,,,,,,
a68a6a09-34a9-4dfa-8a42-aea458041948,AggregateSand,"AggregateSand, Expanded clay agg and sand",,"Aggregates and sand,  expanded clay, bulk, loose",Based upon the stastical average of all data collected for expanded clay aggregates in the ICE Database. ,"Cradle to gate, A1-3",,,1,kg,1,1600,1200,1750,,,,0.3932,0.3932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.00,2.00,5.00,4.00,2.00,18.00,2.00,57%,,Yes,2,0.3932,0.0052,0.0003,0.0357,,,V3.0 Beta,May-19, ,,,,,,,,,,,,,,,,,,,,,,,
3cc7b47e-a0e6-44f2-ba7b-00a75117f13d,AggregateSand,"AggregateSand, Expanded foamed glass",,"Aggregates,  expanded foamed glass, bulk, loose",Based upon the stastical average of all data collected for expanded foamed glass aggregates in the ICE Database. ,"Cradle to gate, A1-3",,,1,kg,1,1600,1200,1750,,,,0.2776,0.2776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.00,2.00,5.00,4.00,2.00,18.00,1.00,54%,,Yes,1,0.2776,0.0052,0.0003,0.0357,,,V3.0 Beta,May-19, ,,,,,,,,,,,,,,,,,,,,,,,
1c959c4b-8356-4280-b3e1-5e5bc010781d,AggregateSand,"AggregateSand, General secondary ",,"Aggregates and sand, from secondary resources, bulk, loose","Including blast furnace slag, bottom ashes, road planings, mining spoil and other aggregates manufacturered from secondary resources. Limited data on the embodied carbon of secondary aggregates was available. There was also limited data on the consumption mixture of secondary aggregates in the UK. The mixture was estimated based upon two sub-regional reports for the Aggregate Minerals survey2015 (AM15). See the references [Table 6.1 in Ref: North East Aggregates Working Party, Annual Aggregates Monitoring report 2015, Dec 2016 ] and [Table 10B in South East Aggregates Working Party, South East Aggregates Monitoring report 2014 & 2015, Sept 2016]. The data would benefit from covering a wider share of the UK secondary aggregate market,","Cradle to gate, A1-3",,,1,kg,1,1600,1200,1750,,,,0.0633,0.0633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.00,3.00,5.00,4.00,1.00,18.00,3.00,60%,,Yes,6,0.0502,0.0052,0.0003,0.0357,,,V3.0 Beta,May-19,Recycled,,,,,,,,,,,,,,,,,,,,,,,
e918d332-402f-453c-ad0b-e050f7d34d6a,AggregateSand,"AggregateSand, General secondary and recycled",,"Aggregates and sand, mixture of recycled and secondary resources, bulk, loose","Data on recycled and (particularly) secondary aggregates would benefit from improvement. Limited data on the embodied carbon of secondary aggregates was available. There was also limited data on the consumption mixture of recycled and secondary aggregates in the UK. The mixture was modelled with 33% secondary and 67% recycled aggregates. [Estimated from Ref: Aggregates, cement and ready-mix concrete market investigation, Working paper on market definition for aggregates, cement and RMX. ND67. Available from: https://assets.publishing.service.gov.uk/media/5329dfb440f0b60a730002cf/market_definition_housestyled.pdf]","Cradle to gate, A1-3",,,1,kg,1,1600,1200,1750,,,,0.0142,0.0142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.26,2.78,4.69,3.96,1.00,15.68,N/A,63%,,Yes,27,0.0409,0.0052,0.0003,0.0357,,,V3.0 Beta,May-19,Recycled,,,,,,,,,,,,,,,,,,,,,,,
