Typology,Area
Landscape,1548.4
Landscape,3212.9
Landscape,2366.7
Landscape,511.51
Landscape,720
Landscape,1313.2
Landscape,660.1
Landscape,3726.9
Landscape,2444.9
Landscape,3726.9
Landscape,2700
Landscape,4220.4
Landscape,807.34
Landscape,1400.8
Landscape,1360.3
Landscape,1603.3
Landscape,3076
Landscape,2974.2
Landscape,1889.6
Landscape,5040
Landscape,5040
Landscape,12436
Landscape,845
Landscape,600.07
Landscape,972.3
Landscape,882.02
Landscape,899.99
Landscape,2439.2
Landscape,637.41
Landscape,2940
Landscape,336
Landscape,339.91
Landscape,600.07
Landscape,867.94
Landscape,606.35
Landscape,757.83
Landscape,1337.4
Landscape,965.59
Landscape,1211.2
Landscape,965.59
Landscape,1211.2
Landscape,1180.4
Landscape,900
Landscape,5520
Landscape,2760
Landscape,4975
Landscape,8190
Landscape,3295.6
Landscape,1668
Landscape,4005.2
Landscape,1223.1
Landscape,2220.4
Landscape,2433.7
Landscape,633.23
Landscape,563.69
Landscape,667.57
Landscape,2563.4
Landscape,1241.2
Landscape,1913.7
Landscape,2563.4
Landscape,633.23
Landscape,1980.9
Landscape,371.76
Landscape,2023.5
Landscape,5520
Landscape,5460
Landscape,8220
Landscape,3089.3
Landscape,896.63
Landscape,3129
Landscape,3016.4
Landscape,1215.3
Landscape,2160
Landscape,415.85
Landscape,463.12
Landscape,796.7
Landscape,604.93
Landscape,407.43
Landscape,706.63
Landscape,1176.8
Landscape,488.09
Landscape,1599.9
Landscape,1022
Landscape,1630.5
Landscape,3347.1
Landscape,2255.6
Landscape,973.7
Landscape,1460.1
Landscape,611.48
Landscape,1023.5
Landscape,932.18
Landscape,932.18
Landscape,1581.7
Landscape,2452.7
Landscape,464.78
Landscape,3375.1
Landscape,2289
Landscape,2025
Landscape,3780
Landscape,1881.9
Landscape,1980.9
Landscape,877.5
Landscape,1130.2
Landscape,401.99
Landscape,615.33
Landscape,502.1
Landscape,1080
Landscape,1015.6
Landscape,1870
Landscape,1355.7
Landscape,758.39
Landscape,276.59
Landscape,2250.7
Landscape,4567.6
Landscape,1512.9
Landscape,2835
Landscape,3780
Landscape,975
Landscape,180
Landscape,762.2
Landscape,186
Landscape,1440
Landscape,276.59
Landscape,1016.9
Landscape,1355.7
Landscape,719.09
Landscape,1128.6
Landscape,1800
Landscape,754.58
Landscape,1108
Landscape,2604
Landscape,910
Landscape,495.63
Landscape,186
Landscape,372
Landscape,352
Landscape,1090.1
Landscape,1078.4
Landscape,1919.9
Landscape,766.97
Landscape,606.39
Landscape,516.23
Landscape,473.13
Landscape,2443.9
Landscape,2520
Landscape,3420
Landscape,8190
Landscape,4193.8
Landscape,1187.1
Landscape,987.94
Landscape,2341.4
Landscape,4050
Landscape,406.58
Landscape,1507.6
Landscape,580.58
Landscape,1198.6
Landscape,718.68
Landscape,562.88
Landscape,1552.6
Landscape,467.09
Commercial,9492.2
Commercial,3792.3
Commercial,10125
Commercial,10125
Commercial,10125
Commercial,10125
Commercial,10125
Commercial,10125
Commercial,10125
Commercial,10125
Commercial,10125
Commercial,10125
Commercial,9492.2
Commercial,3792.3
Commercial,10125
Commercial,10125
Commercial,8010.1
Commercial,10125
Commercial,8010.1
Commercial,10125
Commercial,10125
Commercial,8010.1
Commercial,8010.1
Commercial,8010.1
Commercial,8010.1
Commercial,8010.1
Commercial,10125
Commercial,8010.1
Commercial,10125
Commercial,8010.1
Commercial,10125
Commercial,8010.1
Commercial,10125
Commercial,8010.1
Commercial,10125
Commercial,8010.1
Commercial,10125
Commercial,8010.1
Commercial,10125
Commercial,8010.1
Commercial,10125
Commercial,8010.1
Commercial,10125
Commercial,8010.1
Commercial,9268.5
Commercial,8010.1
Commercial,3792.3
Commercial,10125
Commercial,8010.1
Commercial,10125
Commercial,8010.1
Commercial,10125
Commercial,8010.1
Commercial,10125
Commercial,8010.1
Commercial,10125
Commercial,10125
Commercial,8010.1
Commercial,10125
Commercial,10125
Commercial,8010.1
Commercial,10125
Commercial,10125
Commercial,8010.1
Commercial,10125
Commercial,10125
Commercial,8010.1
Commercial,10125
Commercial,10125
Commercial,8010.1
Commercial,9268.5
Commercial,10125
Commercial,8010.1
Commercial,3792.3
Commercial,10125
Commercial,8010.1
Commercial,10125
Commercial,10125
Commercial,8010.1
Commercial,10125
Commercial,8010.1
Commercial,10125
Commercial,8010.1
Commercial,10125
Commercial,8010.1
Commercial,10125
Commercial,10125
Commercial,8010.1
Commercial,10125
Commercial,10125
Commercial,8010.1
Commercial,10125
Commercial,10125
Commercial,8010.1
Commercial,10125
Commercial,8010.1
Commercial,10125
Commercial,10125
Commercial,8010.1
Commercial,9268.5
Commercial,10125
Commercial,8010.1
Commercial,10125
Commercial,8010.1
Commercial,10125
Commercial,8010.1
Commercial,10125
Commercial,20808
Commercial,28961
Commercial,16963
Commercial,20562
Commercial,12096
Commercial,11546
Commercial,16410
Commercial,16410
Commercial,16410
Commercial,16410
Commercial,16410
Commercial,16410
Commercial,16410
Commercial,16410
Commercial,16410
Commercial,16410
Commercial,16410
Commercial,16410
Commercial,16410
Commercial,20808
Commercial,16410
Commercial,20808
Commercial,16410
Commercial,20562
Commercial,20808
Commercial,20808
Commercial,20808
Commercial,12096
Commercial,12096
Commercial,20808
Commercial,16410
Commercial,20808
Commercial,20808
Commercial,16963
Commercial,20808
Commercial,16410
Commercial,20808
Commercial,12096
Commercial,12096
Commercial,20808
Commercial,20808
Commercial,20808
Commercial,20808
Commercial,20808
Commercial,20808
Commercial,20808
Commercial,12096
Commercial,12096
Commercial,20808
Commercial,20808
Commercial,20808
Commercial,20808
Commercial,20808
Commercial,20808
Commercial,20808
Commercial,20808
Commercial,20808
Commercial,16410
Commercial,16410
Commercial,16410
Commercial,16410
Commercial,16963
Commercial,16963
Commercial,16963
Commercial,16963
Commercial,16963
Commercial,28961
Commercial,16963
Commercial,28961
Commercial,16963
Commercial,16963
Commercial,16963
Commercial,28961
Commercial,16963
Commercial,28961
Commercial,16963
Commercial,28961
Commercial,16963
Commercial,28961
Commercial,16963
Commercial,28961
Commercial,16963
Commercial,28961
Commercial,16963
Commercial,16963
Commercial,28961
Commercial,16963
Commercial,16963
Commercial,19664
Commercial,16963
Commercial,19664
Commercial,12096
Commercial,20562
Commercial,11546
Commercial,16963
Commercial,28961
Commercial,22263
Commercial,33129
Commercial,22263
Commercial,33129
Commercial,22263
Commercial,21029
Commercial,33129
Commercial,31733
Commercial,31733
Hotel,8020.1
Hotel,18784
Hotel,16410
Hotel,16410
Hotel,16410
Hotel,16410
Hotel,16410
Hotel,16410
Hotel,16410
Hotel,16410
Hotel,16410
Hotel,16410
Hotel,16410
Hotel,16410
Hotel,16410
Hotel,16410
Hotel,16410
Hotel,16410
Hotel,18784
Hotel,18784
Hotel,18784
Hotel,18784
Hotel,18784
Hotel,18784
Hotel,18784
Hotel,18784
Hotel,18784
Plaza,81600
Plaza,15986
Plaza,10009
Plaza,1530
Plaza,23260
Plaza,71863
Plaza,67629
Plaza,44230
Plaza,28789
Plaza,62810
Plaza,1288.5
Plaza,22442
Plaza,1590
Plaza,110630
Plaza,11684
Plaza,87417
Plaza,19815
Retail,8020.1
Retail,8020.1
Retail,9492.2
Retail,8010.1
Retail,8010.1
Retail,10125
Retail,8010.1
Retail,8010.1
Retail,1385.3
Retail,8010.1
Retail,8010.1
Retail,8010.1
Retail,10125
Retail,3792.3
Retail,10125
Retail,8010.1
Retail,1059.7
Retail,5418.7
Retail,16549
Retail,3680.8
Retail,10193
Retail,6786.7
Retail,2564.8
Retail,430.69
Retail,9478.7
Retail,10253
Retail,2250
Retail,21420
Retail,8294.4
Retail,8078.4
Retail,2423.4
Retail,12094
Retail,13514
Retail,16718
Retail,6119.4
Retail,10917
Retail,5599.5
Retail,6163.1
Retail,17879
Retail,7701
Retail,4835.4
Retail,17510
Retail,45211
Retail,12094
Retail,13514
Retail,16718
Retail,6119.4
Retail,10917
Retail,5599.5
Retail,6163.1
Retail,17879
Retail,4835.4
Retail,7701
Retail,17510
Retail,45211
Retail,10090
Retail,7557.8
Retail,45211
Retail,1218.4
Retail,1911.2
Retail,2697.6
Retail,17222
Retail,30901
Retail,1177.9
Retail,518.02
Retail,1686.9
Retail,1240.7
Retail,1649.4
Retail,1649.4
Retail,26442
Retail,14968
Retail,19883
Retail,13415
Retail,19722
Retail,39262
