building_type,building_use,basement_count,building_height,building_width,building_depth,element_type,building_element,value,unit
1,Office,0,25,20,20,Foundation,"Footing foundations for hard soils (sand, gravel, silt or clay) per GFA, Includes: point and strip footings",9,KgCO2e/m2
1,Office,0,25,20,20,Foundation,Steel core piling foundation for soft soils (15m),44,KgCO2e/m2
1,Office,0,25,20,20,Foundation,Rammed concrete piling foundation for hard soils (15m),12,KgCO2e/m2
1,Office,0,25,20,20,Ground slab,Concrete ground slab assembly incl. insulation,22,KgCO2e/m2
1,Office,0,25,20,20,Floor Slab,In-situ concrete slab assembly,82,KgCO2e/m2
1,Office,0,25,20,20,Floor Slab,Concrete cast-in-situ floor slab assembly (150mm),64,KgCO2e/m2
1,Office,0,25,20,20,Floor Slab,Metal-concrete composite decking (150mm),46,KgCO2e/m2
1,Office,0,25,20,20,Floor Slab,"Hollow-core slab floor assembly, incl. mineral wool acoustic slabs",74,KgCO2e/m2
1,Office,0,25,20,20,Floor Slab,CLT floor slab assembly (200mm),65,KgCO2e/m2
1,Office,0,25,20,20,Columns,"Reinforced wall, for concrete building",26,KgCO2e/m2
1,Office,0,25,20,20,Columns,Precast concrete column,13,KgCO2e/m2
1,Office,0,25,20,20,Columns,In-situ concrete column,10,KgCO2e/m2
1,Office,0,25,20,20,Columns,Timber column - for timber frame buildings,2,KgCO2e/m2
1,Office,0,25,20,20,Columns,Steel column,23,KgCO2e/m2
1,Office,0,25,20,20,Shear Wall,Reinforced concrete shear wall,4,KgCO2e/m2
1,Office,0,25,20,20,Beams,Precast concrete beam,39,KgCO2e/m2
1,Office,0,25,20,20,Beams,In-situ concrete beam,30,KgCO2e/m2
1,Office,0,25,20,20,Beams,Timber beam - for timber frame buildings,3,KgCO2e/m2
1,Office,0,25,20,20,Beams,Steel beam,35,KgCO2e/m2
1,Office,0,25,20,20,Stairs,Concrete assembly for stairs and elevator shafts per one metre height,8,KgCO2e/m2
1,Office,0,25,20,20,Stairs,CLT assembly for stairs and elevator shaft,5,KgCO2e/m2
1,Office,0,25,20,20,External Walls,"Timber frame external wall assembly, incl. mineral wool insulation, U-value 0.18 W/m2K, 320 mm",9,KgCO2e/m2
1,Office,0,25,20,20,External Walls,"Timber Frame Cavity Wall & Service Void, U-value 0.22, (Part L 2016)",43,KgCO2e/m2
1,Office,0,25,20,20,External Walls,"Steel sandwich element external wall assembly, incl. mineral wool insulation, U-value 0.18 W/m2K, 200 mm",24,KgCO2e/m2
2,Office,3,45,40,40,Foundation,Steel core piling foundation for soft soils (25 m),92,KgCO2e/m2
2,Office,3,45,40,40,Foundation,Rammed concrete piling foundation for soft soils (30m),24,KgCO2e/m2
2,Office,3,45,40,40,,,,
2,Office,3,45,40,40,Ground slab,Concrete ground slab assembly incl. insulation,31,KgCO2e/m2
2,Office,3,45,40,40,,,,
2,Office,3,45,40,40,Floor Slab,In-situ concrete slab assembly,93,KgCO2e/m2
2,Office,3,45,40,40,Floor Slab,Concrete cast-in-situ floor slab assembly (240mm),73,KgCO2e/m2
2,Office,3,45,40,40,Floor Slab,Metal-concrete composite decking (200mm),52,KgCO2e/m2
2,Office,3,45,40,40,Floor Slab,"Hollow-core slab floor assembly, incl. mineral wool acoustic slabs",84,KgCO2e/m2
2,Office,3,45,40,40,Floor Slab,CLT floor slab assembly (200mm),72,KgCO2e/m2
2,Office,3,45,40,40,,,,
2,Office,3,45,40,40,Columns,Precast concrete column,20,KgCO2e/m2
2,Office,3,45,40,40,Columns,In-situ concrete column,14,KgCO2e/m2
2,Office,3,45,40,40,Columns,Timber column - for timber frame buildings,4,KgCO2e/m2
2,Office,3,45,40,40,Columns,Steel column,35,KgCO2e/m2
2,Office,3,45,40,40,Diagonal wind bracings,"Steel wind bracing, X-shaped, per m2 external wall area",3,KgCO2e/m2
2,Office,3,45,40,40,Connecting parts,Steel connecting parts,1,KgCO2e/m2
2,Office,3,45,40,40,Beams,Precast concrete beam,65,KgCO2e/m2
2,Office,3,45,40,40,Beams,In-situ concrete beam,72,KgCO2e/m2
2,Office,3,45,40,40,Beams,Timber beam - for timber frame buildings,7,KgCO2e/m2
2,Office,3,45,40,40,Beams,Steel beam,72,KgCO2e/m2
2,Office,3,45,40,40,Secondary beams,Secondary steel beam,15,KgCO2e/m2
2,Office,3,45,40,40,Stairs,Concrete assembly for stairs and elevator shafts per one metre height,12,KgCO2e/m2
2,Office,3,45,40,40,Stairs,CLT assembly for stairs and elevator shaft,7,KgCO2e/m2
