ASSET,TYPE,TYPOLOGY,UNIQUE ID,INDEX,PHASE,PRECINCT,PARKING RATIO,PODIUM HEIGHT,TYPICAL FLOOR HEIGHT,PERMANENT SEATING,TEMPORARY SEATING,PUBLIC REALM,LEVEL,RATIO VALUES,PLOT,SUB-PLOT,EFFICIENCY,PARKING FORMULA,RESIDENTIAL POPULATION,AVG UNIT,GFA,TOTAL KEYS,EMPLOYEE RATE,AREA,CUSTOM COUNT,VISITOR RATE,GFA* EMPLOYEE RATE,SEATS*EMPLOYEE RATE,GLA*EMPLOYEE RATE,TOTAL SEATS,BUA,*TOTAL KEYS*EMPLOYEE RATE,NLA,GLA,*CUSTOM COUNT * EMPLOYEE RATE,EMPLOYEE RATE * (GFA*VISITOR RATE),EMPLOYEE TOTALS,GFA*VISITOR RATE,EMPLOYEE TOTAL*VISITOR RATE,RESI RATE * VISITOR RATE,TOTAL KEYS * VISITOR RATE,TOTAL SEATS * VISITOR RATE,GLA * VISITOR RATE,VISITOR TOTALS,*RESIDENTIAL TOTALS,*POPULATION TOTALS,BUILDING FOOTPRINT,PARKING AVAILABLE,QQ_1E_DETAILED RESID POP.TOTAL RESID POPULATION,QQ_1E_DETAILED RESID POP.NEW RESI *RATE,QQ_1E_DETAILED RESID POP.TOTAL RESIDENTIAL UNITS,MERGED TOTAL VISITORS,SUB PLOT AREA,CAPACITY,AVERAGE ROOM UNIT,TOTAL UNITS/KEYS,PARKING REQUIRED,CITY DISTRICT,*DETAILED RESI POPULATION,MERGED SUB-PLOT
PLAZA,PLAZA D,PLD,CC-001-00_0,CC-001-00_0-22371-GA LEVEL AOD-PLD,1,STADIUM PRECINCT,0,0,0,0,0,Yes,GA LEVEL AOD,0,CC-001,00,0,NO PROVISION,0,0,0,,0,22371,1,0,,,,0,0,,0,0,,,0,,,,,0,,0,0,0,0,0,,,,0,22371,0,0,,0,CITY SOUTH,,CC-001-00
PLAZA,PLAZA D,PLD,CC-001-00_0,CC-001-00_0-9991-GA LEVEL AOD-PLD,1,WEST CLIFF PRECINCT,0,0,0,0,0,Yes,GA LEVEL AOD,0,CC-001,00,0,NO PROVISION,0,0,0,,0,9991,1,0,,,,0,0,,0,0,,,0,,,,,0,,0,0,0,0,0,,,,0,9991,0,0,,0,CITY SOUTH,,CC-001-00
PLAZA,PLAZA C,PLC,CC-001-00_0,CC-001-00_0-9637-GA LEVEL AOD-PLC,1,WEST CLIFF PRECINCT,0,0,0,0,0,Yes,GA LEVEL AOD,0,CC-001,00,0,NO PROVISION,0,0,0,,0,9637,1,0,,,,0,0,,0,0,,,0,,,,,0,,0,0,0,0,0,,,,0,9637,0,0,,0,CITY SOUTH,,CC-001-00
PLAZA,PLAZA A,PLA,CC-001-01_A,CC-001-01_A-24252-GA LEVEL AOD-PLA,1,STADIUM PRECINCT,0,0,0,0,0,Yes,GA LEVEL AOD,0,CC-001,01,0,NO PROVISION,0,0,0,,0,24252,1,0,,,,0,0,,0,0,,,0,,,,,0,,0,0,0,0,0,,,,0,24252,0,0,,0,CITY SOUTH,,CC-001-01
PLAZA,PLAZA B,PLB,CC-001-01_A,CC-001-01_A-3186-GA LEVEL AOD-PLB,1,STADIUM PRECINCT,0,0,0,0,0,Yes,GA LEVEL AOD,0,CC-001,01,0,NO PROVISION,0,0,0,,0,3186,1,0,,,,0,0,,0,0,,,0,,,,,0,,0,0,0,0,0,,,,0,3186,0,0,,0,CITY SOUTH,,CC-001-01
PLAZA,PLAZA A,PLA,CC-001-01_A,CC-001-01_A-5080-GA LEVEL AOD-PLA,1,STADIUM PRECINCT,0,0,0,0,0,Yes,GA LEVEL AOD,0,CC-001,01,0,NO PROVISION,0,0,0,,0,5080,1,0,,,,0,0,,0,0,,,0,,,,,0,,0,0,0,0,0,,,,0,5080,0,0,,0,CITY SOUTH,,CC-001-01
PLAZA,PLAZA B,PLB,CC-001-01_A,CC-001-01_A-17449-GA LEVEL AOD-PLB,1,STADIUM PRECINCT,0,0,0,0,0,Yes,GA LEVEL AOD,0,CC-001,01,0,NO PROVISION,0,0,0,,0,17449,1,0,,,,0,0,,0,0,,,0,,,,,0,,0,0,0,0,0,,,,0,17449,0,0,,0,CITY SOUTH,,CC-001-01
SPORTS,STADIUM,STAD,CC-001-01_A,CC-001-01_A-47996-GA LEVEL PARKING B1-STAD,1,STADIUM PRECINCT,0,6.5,6.5,40000,0,No,GA LEVEL PARKING B1,0.2,CC-001,01,0.75,NO PROVISION,0,40000,47996,,0.05,47996,1,1,,,,40000,47996,,35997,35997,,,0,,,,,0,,0,0,0,0,0,,,,0,0,40000,0,,0,CITY SOUTH,,CC-001-01
SPORTS,STADIUM,STAD,CC-001-01_A,CC-001-01_A-36822-GA LEVEL AOD-STAD,1,STADIUM PRECINCT,0,6.5,6.5,40000,0,No,GA LEVEL AOD,0.2,CC-001,01,0.75,NO PROVISION,0,40000,36822,,0.05,36822,1,1,,2000,,40000,36822,,27616.5,27616,,,2000,,,,,40000,,40000,0,42000,36822,0,,,,40000,36822,40000,0,,0,CITY SOUTH,,CC-001-01
PLAZA,PLAZA B,PLB,CC-001-02_A,CC-001-02_A-7774-GA LEVEL AOD-PLB,1,STADIUM PRECINCT,0,0,0,0,0,Yes,GA LEVEL AOD,0,CC-001,02,0,NO PROVISION,0,0,0,,0,7774,1,0,,,,0,0,,0,0,,,0,,,,,0,,0,0,0,0,0,,,,0,7774,0,0,,0,CITY SOUTH,,CC-001-02
